ID;OLT;Hora;F/S/P;ONT ID;MAC;CLIENTE;S/N;RX (dBm);TX (dBm);Status;Primária;Secundária;Porta Sec.;Descrição OLT;Mudanças
8233;95;2025-06-12 16:34:02.949627;0/0/10;18;C0:BF:C0:6D:0B:8E;;4857544304BB3D9A;-22.22;2.04;online;A7F110;A7F110-S6-A;P1;A7F110S6-A P1;Não
8236;95;2025-06-12 16:34:03.514677;0/0/10;19;;;48575443330F629D;;;offline;A7F110;A7F110-S4;P4;A7F110S4 P4;Não
8239;95;2025-06-12 16:34:05.505897;0/0/10;23;88:3F:D3:4D:7C:A9;;485754434D7CA88B;-23.28;2.34;online;A7F110;A7F110-S6-B;P9;A7F110S6-B P9;Não
8240;95;2025-06-12 16:34:06.155550;0/0/10;24;;;4857544332FB759A;;;offline;A7F110;A7F110-S8;P8;A7F110S8 P8;Não
8243;95;2025-06-12 16:34:07.867437;0/0/10;25;88:66:39:86:D5:20;;4857544386D51F95;-24.2;2.18;online;A7F110;A7F110-S6-B;P10;A7F110S6-B P10;Não
8246;95;2025-06-12 16:34:09.442428;0/0/10;27;AC:75:1D:89:3F:17;;485754437E0F759D;-22.22;1.97;online;AF110;AF110-S1;P16;AF110S1 P16;Não
8248;95;2025-06-12 16:34:11.046534;0/0/10;28;7C:C3:85:CD:A4:D7;;48575443CDA4D69E;-26.19;1.92;online;A7F110;A7F110-S2;P9;A7F110S2 P9;Não
8250;95;2025-06-12 16:34:12.608848;0/0/10;29;28:B4:48:C8:D3:B1;;48575443F2BA199A;-24.95;2.28;online;A7F110;A7F110-S6-A;P4;A7F110S6-A P4;Não
8252;95;2025-06-12 16:34:14.166369;0/0/10;30;38:EB:47:91:8A:36;;48575443D81FAFA3;-25.85;2.31;online;A7F110;A7F110-S6-A;P5;A7F110S6-A P5;Não
8254;95;2025-06-12 16:34:15.773003;0/0/10;33;C4:FF:1F:7F:34:6B;;48575443FE84BF9A;-22.59;2.12;online;A7F110;A7F110-S6-A;P2;A7F110S6-A P2;Não
8257;95;2025-06-12 16:34:17.365106;0/0/10;34;DC:21:E2:07:03:EC;;4857544387D7A0A3;-21.36;2.17;online;A7F110;A7F110-S5;P11;A7F110S5 P11;Não
8259;95;2025-06-12 16:34:18.996617;0/0/10;36;C8:1F:BE:13:40:96;;4857544313409580;-21.87;2.13;online;A7F110;A7F110-S1;P12;A7F110S1 P12;Não
5405;95;2025-06-06 15:56:39.008238;0/0/10;42;08:C0:21:32:C7:40;;4857544332C73F73;-20.04;2.17;online;A7F110;A7F110-S1;15;A7F110S1 P15;Não
8261;95;2025-06-12 16:34:20.625282;0/0/10;43;AC:75:1D:88:E7:16;;485754437E08B09D;-26.99;2.34;online;A7F110;A7F110-S2;P5;A7F110S2 P5;Não
8263;95;2025-06-12 16:34:22.245085;0/0/10;45;50:6F:77:C4:86:44;;48575443CDD1F29B;-25.68;2.16;online;A7F110;A7F110-S6-B;P13;A7F110S6-B P13;Não
8264;95;2025-06-12 16:34:23.858918;0/0/10;47;04:B0:E7:BD:8D:2C;;485754432CAEDD9D;-21.8;1.94;online;A7F110;A7F110-S7;P4;A7F110S7 P4;Não
8265;95;2025-06-12 16:34:25.408557;0/0/10;50;70:C7:F2:12:94:B8;;485754434B377A9E;-21.48;2.15;online;A7F110;A7F110-S7;P7;A7F110S7 P7;Não
8266;95;2025-06-12 16:34:27.029115;0/0/10;52;04:27:58:52:76:03;;4857544352760276;-23.01;2.1;online;A7F110;A7F110-S4;P9;A7F110S4 P9;Não
8267;95;2025-06-12 16:34:28.616806;0/0/10;56;CC:BB:FE:7C:DF:B7;;48575443E618C09D;-22.36;2.29;online;A7F110;A7F110-S1;P1;A7F110S1 P1;Não
8268;95;2025-06-12 16:34:30.145988;0/0/10;57;5C:54:6D:80:00:C1;;4857544340A1E49B;-22.36;1.96;online;A7F110;A7F110-S6-B;P15;A7F110S6-B P15;Não
8269;95;2025-06-12 16:34:31.676484;0/0/10;59;38:BC:01:D2:76:C3;;48575443D276C29A;-22.14;2.32;online;A7F110;A7F110-S2;P8;A7F110S2 P8;Não
8270;95;2025-06-12 16:34:32.278970;0/0/10;61;;;485754430A0E7D9D;;;offline;A7F110;A7F110-S1;P16;A7F110S1 P16;Não
8603;95;2025-06-16 09:21:41.032795;0/0/11;0;;;485754434B5F839E;;;offline;A7F67;A7F67-S2;P1;A7F67S2 P1;Não
8605;95;2025-06-16 09:21:42.594230;0/0/11;1;2C:9D:1E:CC:CE:DC;;48575443CCCEDB7F;-17.67;1.92;online;A7F67;A7F67-S6;P2;A7F67S6 P2;Não
